location_id,n,p10,p50,p90,vmin,vmax
yyc-c1-r11,275,23647.0,24169.0,24488.0,22661,24817
yyc-c1-r123,202,23475.9,24160.0,24623.0,21878,24856
yyc-c1-r125,181,23415.0,24198.0,24575.0,21810,24914
yyc-c1-r127,199,23369.2,24169.0,24558.0,22081,24798
yyc-c1-r129,216,23637.5,24280.5,24657.5,21723,24924
yyc-c1-r13,279,23332.2,24237.0,24633.0,21723,25494
yyc-c1-r131,205,23579.8,24179.0,24527.0,22052,24798
yyc-c1-r133,163,23564.2,24227.0,24680.0,21781,24962
yyc-c1-r135,180,23553.3,24179.0,24585.0,21907,25194
yyc-c1-r137,155,23442.6,24237.0,24649.0,22207,24837
yyc-c1-r139,199,23373.0,24179.0,24629.8,18726,24817
yyc-c1-r145,211,23696.0,24247.0,24566.0,22439,24982
yyc-c1-r147,221,23628.0,24218.0,24624.0,21830,24895
yyc-c1-r149,214,23633.7,24232.0,24566.0,20534,25368
yyc-c1-r151,225,23426.8,24218.0,24585.0,22004,25301
yyc-c1-r153,226,23545.5,24193.5,24575.0,21781,24914
yyc-c1-r155,247,23384.6,24179.0,24560.0,22255,24788
yyc-c1-r157,255,23580.0,24227.0,24653.0,21994,25571
yyc-c1-r159,231,23599.0,24198.0,24604.0,22071,25291
yyc-c1-r161,239,23494.4,24150.0,24635.0,21955,25629
yyc-c1-r167,319,23324.2,24140.0,24633.0,21694,25204
yyc-c1-r169,321,23464.0,24102.0,24614.0,21675,25552
yyc-c1-r171,325,23336.0,24111.0,24537.0,21888,25088
yyc-c1-r173,309,23400.2,24131.0,24588.8,19674,25185
yyc-c1-r175,319,23469.2,24121.0,24585.0,21733,25552
yyc-c1-r177,320,23375.0,24053.0,24556.0,20157,25243
yyc-c1-r179,327,23417.4,24140.0,24550.0,18175,24904
yyc-c1-r181,330,23347.0,24131.0,24575.0,20544,25146
yyc-c1-r183,329,23112.0,24073.0,24517.0,18949,24914
yyc-c1-r189,223,23519.8,24208.0,24595.0,21830,24808
yyc-c1-r191,230,23161.1,24189.0,24634.0,21955,24914
yyc-c1-r193,221,23512.0,24247.0,24633.0,21762,25262
yyc-c1-r195,198,23464.0,24184.0,24624.0,22042,25446
yyc-c1-r197,210,23584.2,24227.0,24614.0,22178,24895
yyc-c1-r199,236,23410.5,24261.0,24648.0,21878,25639
yyc-c1-r201,241,23203.0,24208.0,24614.0,21743,25088
yyc-c1-r203,224,23405.8,24184.0,24585.0,22033,25339
yyc-c1-r205,211,23522.0,24237.0,24624.0,21984,24866
yyc-c1-r211,82,23615.7,24203.0,24556.0,21801,24711
yyc-c1-r213,93,23430.8,24150.0,24552.2,21453,24808
yyc-c1-r215,89,23366.8,24208.0,24430.0,22632,24991
yyc-c1-r217,90,23792.0,24159.5,24567.9,22739,24720
yyc-c1-r219,78,23538.0,24154.5,24641.7,21984,24740
yyc-c1-r221,106,23705.5,24198.0,24614.0,22013,25069
yyc-c1-r223,98,23577.0,24237.0,24658.7,22004,24895
yyc-c1-r225,107,23634.0,24208.0,24585.0,22284,24730
yyc-c1-r227,102,23628.7,24169.5,24537.0,19239,24759
yyc-c1-r233,336,23236.5,24121.0,24546.0,21772,24875
yyc-c1-r235,332,23446.0,24140.0,24624.0,21704,25301
yyc-c1-r237,328,23471.3,24140.0,24530.0,21888,25223
yyc-c1-r239,324,23392.0,24097.0,24534.0,22110,24856
yyc-c1-r241,320,23389.2,24164.5,24624.0,21772,25194
yyc-c1-r243,329,23525.2,24208.0,24604.0,21762,25223
yyc-c1-r245,327,23428.8,24131.0,24521.0,21830,25533
yyc-c1-r247,330,23500.1,24169.0,24604.0,21414,25426
yyc-c1-r249,327,23510.4,24150.0,24560.0,18388,24933
yyc-c1-r255,327,23336.2,24053.0,24643.0,21752,25136
yyc-c1-r257,328,23641.3,24160.0,24588.0,21559,24827
yyc-c1-r259,326,23386.5,24111.0,24527.0,18301,25030
yyc-c1-r261,333,23427.0,24121.0,24556.0,21337,24759
yyc-c1-r263,336,23198.0,24097.0,24551.0,21878,24798
yyc-c1-r299,334,23382.7,24102.0,24556.0,21868,25436
yyc-c1-r3,313,23399.6,24198.0,24585.0,18185,25745
yyc-c1-r301,328,23275.9,24073.0,24566.0,19780,25194
yyc-c1-r303,338,23335.0,24092.0,24520.0,18059,25272
yyc-c1-r305,338,23528.3,24140.0,24556.0,21830,25455
yyc-c1-r332,331,23464.0,24150.0,24653.0,20012,25049
yyc-c1-r334,316,23420.0,24082.0,24575.0,21636,24788
yyc-c1-r336,334,23314.7,24102.0,24537.0,21975,25407
yyc-c1-r338,320,23463.0,24097.0,24595.0,21733,25059
yyc-c1-r39,200,23588.1,24189.0,24614.0,19374,24866
yyc-c1-r41,201,23087.0,24140.0,24575.0,21907,24779
yyc-c1-r43,189,23538.8,24198.0,24653.0,21897,24856
yyc-c1-r45,214,23129.1,24203.0,24611.0,21685,24846
yyc-c1-r47,221,23406.0,24160.0,24633.0,21917,25378
yyc-c1-r49,238,23493.0,24150.0,24566.0,22313,24914
yyc-c1-r5,299,23195.2,24237.0,24635.0,21907,25475
yyc-c1-r51,225,23316.6,24237.0,24672.0,21752,25146
yyc-c1-r7,323,23214.0,24150.0,24651.0,21839,25542
yyc-c1-r77,255,23287.6,24227.0,24595.0,22081,24866
yyc-c1-r79,279,23556.8,24237.0,24577.0,21733,24914
yyc-c1-r81,267,23637.8,24247.0,24672.0,21888,25426
yyc-c1-r83,264,23436.7,24179.0,24643.0,21656,25359
yyc-c1-r85,268,23632.0,24237.0,24614.0,18804,24875
yyc-c1-r87,266,23178.5,24150.0,24590.0,21897,25098
yyc-c1-r9,257,23585.4,24266.0,24643.0,21801,24953
yyc-c2-r10,148,23386.2,24092.0,24401.0,22342,25117
yyc-c2-r12,137,23598.8,24131.0,24544.6,21994,25107
yyc-c2-r124,256,23251.0,24063.0,24498.0,21907,25310
yyc-c2-r126,252,23630.9,24068.0,24478.0,21839,25040
yyc-c2-r128,252,23474.0,24082.0,24411.0,22420,25320
yyc-c2-r130,262,23591.0,24082.0,24498.0,21946,25349
yyc-c2-r132,257,23353.4,24063.0,24502.0,21926,25475
yyc-c2-r134,207,23649.4,24082.0,24459.0,21878,25214
yyc-c2-r136,195,23353.6,24034.0,24488.0,21975,25223
yyc-c2-r138,182,23446.0,24082.0,24440.0,22236,24682
yyc-c2-r140,267,23363.0,24044.0,24463.0,21868,25146
yyc-c2-r146,90,23435.3,24039.0,24498.0,22071,24991
yyc-c2-r148,80,22844.0,24097.0,24470.0,21975,24924
yyc-c2-r150,93,23767.2,24150.0,24498.0,19403,24585
yyc-c2-r152,79,23781.0,24131.0,24503.8,22178,24759
yyc-c2-r154,83,23510.4,24092.0,24469.0,21975,24943
yyc-c2-r156,241,23232.0,24131.0,24517.0,21946,25088
yyc-c2-r158,220,23333.2,24063.0,24460.0,21849,25262
yyc-c2-r160,205,23159.8,24082.0,24504.0,21917,24711
yyc-c2-r162,224,23715.0,24116.0,24540.3,21975,25011
yyc-c2-r168,293,23554.6,24082.0,24515.2,20737,25059
yyc-c2-r170,293,23635.8,24102.0,24527.0,21907,25049
yyc-c2-r172,285,23516.0,24044.0,24469.0,20457,25117
yyc-c2-r174,290,23368.3,24034.0,24488.0,21346,24895
yyc-c2-r176,293,23623.8,24111.0,24525.0,18949,25562
yyc-c2-r178,291,23705.0,24092.0,24450.0,17634,25175
yyc-c2-r180,285,23521.6,24092.0,24479.0,19606,25581
yyc-c2-r182,298,23606.0,24106.5,24527.0,18349,24691
yyc-c2-r184,295,23715.0,24121.0,24523.0,21830,25397
yyc-c2-r190,226,23367.0,24077.5,24488.0,21878,24585
yyc-c2-r192,247,23711.0,24140.0,24540.6,21946,25185
yyc-c2-r194,232,22745.7,24053.0,24556.0,19152,24982
yyc-c2-r196,234,23479.0,24111.0,24498.0,21878,25088
yyc-c2-r198,238,23448.3,24044.0,24382.0,22304,25049
yyc-c2-r200,262,23542.9,24111.0,24517.0,19045,25107
yyc-c2-r202,261,23406.0,24082.0,24556.0,21839,25426
yyc-c2-r204,260,23617.1,24111.0,24547.0,21443,25088
yyc-c2-r206,258,23180.3,24058.0,24498.0,21868,24595
yyc-c2-r212,300,23656.0,24097.0,24537.0,21936,25262
yyc-c2-r214,300,23424.0,24063.0,24556.0,20602,25262
yyc-c2-r216,299,23740.2,24082.0,24459.0,22275,25088
yyc-c2-r218,299,23723.0,24063.0,24443.8,22062,25030
yyc-c2-r220,295,23616.6,24073.0,24475.0,21907,24633
yyc-c2-r222,298,23683.0,24063.0,24372.0,22449,25233
yyc-c2-r224,297,23164.2,24063.0,24521.0,21839,25330
yyc-c2-r226,304,23715.0,24111.0,24508.0,21839,25349
yyc-c2-r228,303,23581.8,24092.0,24479.0,22062,25185
yyc-c2-r234,283,23140.6,24024.0,24498.0,21965,24653
yyc-c2-r236,285,23628.2,24092.0,24527.0,21946,25533
yyc-c2-r238,277,23357.0,24102.0,24556.0,21907,25678
yyc-c2-r240,281,23667.0,24073.0,24353.0,19190,25146
yyc-c2-r242,288,23507.3,24131.0,24546.0,17692,25262
yyc-c2-r244,282,23650.9,24063.0,24469.0,21975,25417
yyc-c2-r246,278,23609.5,24106.5,24498.0,21936,25378
yyc-c2-r248,284,23621.0,24073.0,24450.0,21936,24924
yyc-c2-r250,285,23609.0,24063.0,24498.0,20235,25388
yyc-c2-r256,281,23232.0,24063.0,24488.0,21839,25513
yyc-c2-r258,292,23678.0,24111.0,24526.0,21849,25349
yyc-c2-r260,288,23478.8,24073.0,24508.0,21907,25156
yyc-c2-r262,291,23367.0,24073.0,24556.0,21665,24740
yyc-c2-r264,292,23735.0,24121.0,24516.1,19007,24730
yyc-c2-r300,215,23574.0,24082.0,24517.0,21820,25175
yyc-c2-r302,211,23154.0,24082.0,24488.0,21955,24614
yyc-c2-r304,283,23467.6,24073.0,24498.0,21723,25359
yyc-c2-r306,277,23754.0,24140.0,24508.0,22062,25397
yyc-c2-r333,287,23229.4,24073.0,24540.6,17818,25175
yyc-c2-r335,286,23309.0,24087.0,24532.0,19084,25436
yyc-c2-r337,287,23519.4,24063.0,24508.0,21926,25001
yyc-c2-r339,297,23500.4,24092.0,24459.0,21810,25146
yyc-c2-r4,164,23126.4,24116.0,24485.3,20012,24662
yyc-c2-r40,226,23406.0,24121.0,24537.0,21917,25310
yyc-c2-r42,237,23250.8,24111.0,24482.6,21878,25156
yyc-c2-r44,234,23662.7,24082.0,24485.3,21762,25349
yyc-c2-r46,230,23441.1,24077.5,24556.0,21704,25455
yyc-c2-r48,233,23388.0,24063.0,24535.0,21888,24788
yyc-c2-r50,245,23600.6,24092.0,24475.0,21907,24604
yyc-c2-r6,162,23716.9,24140.0,24546.0,21675,24720
yyc-c2-r78,242,23145.9,24092.0,24526.0,21897,24643
yyc-c2-r8,144,23353.7,24097.0,24546.0,21801,25339
yyc-c2-r80,239,23757.2,24140.0,24556.0,21965,24711
yyc-c2-r82,234,23331.0,24092.0,24479.0,18185,25310
yyc-c2-r84,169,23239.2,24073.0,24501.8,21772,24624
yyc-c2-r86,165,23680.0,24150.0,24508.0,22129,24595
yyc-c2-r88,177,23322.4,24102.0,24540.6,21888,25291
