location_id,gateway,n_events,n_metrics,first_seen,last_seen
yyc-c1-r11,yyc-linc360-p-1,12614,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r3,yyc-linc360-p-1,12669,53,2025-08-27 10:06:18.194998832,2026-03-28 21:06:55.813003104
yyc-c1-r299,yyc-linc360-p-1,12168,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r263,yyc-linc360-p-1,12186,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r261,yyc-linc360-p-1,12409,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r259,yyc-linc360-p-1,12140,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r257,yyc-linc360-p-1,12315,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r255,yyc-linc360-p-1,12134,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r249,yyc-linc360-p-1,12061,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r301,yyc-linc360-p-1,12125,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r247,yyc-linc360-p-1,12084,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r243,yyc-linc360-p-1,11450,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r241,yyc-linc360-p-1,12207,53,2025-08-27 11:05:41.325996609,2026-03-28 20:07:07.725996307
yyc-c1-r239,yyc-linc360-p-1,9812,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r237,yyc-linc360-p-1,12197,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r235,yyc-linc360-p-1,9835,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r233,yyc-linc360-p-1,12238,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r227,yyc-linc360-p-1,13714,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r225,yyc-linc360-p-1,11302,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r245,yyc-linc360-p-1,11832,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r223,yyc-linc360-p-1,10273,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r303,yyc-linc360-p-1,11994,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r332,yyc-linc360-p-1,11910,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r9,yyc-linc360-p-1,10370,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r85,yyc-linc360-p-1,11205,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r83,yyc-linc360-p-1,11261,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r81,yyc-linc360-p-1,11055,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r79,yyc-linc360-p-1,11324,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r77,yyc-linc360-p-1,10989,53,2025-08-27 11:05:41.325996609,2026-03-28 20:07:07.725996307
yyc-c1-r7,yyc-linc360-p-1,11985,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r51,yyc-linc360-p-1,10694,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r305,yyc-linc360-p-1,12196,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r5,yyc-linc360-p-1,11508,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r47,yyc-linc360-p-1,11127,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r45,yyc-linc360-p-1,10233,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r43,yyc-linc360-p-1,10082,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r41,yyc-linc360-p-1,10269,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r39,yyc-linc360-p-1,10072,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r338,yyc-linc360-p-1,15640,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r336,yyc-linc360-p-1,12742,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r334,yyc-linc360-p-1,14184,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r49,yyc-linc360-p-1,10856,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r221,yyc-linc360-p-1,14791,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r87,yyc-linc360-p-1,11137,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r217,yyc-linc360-p-1,21627,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
yyc-c1-r159,yyc-linc360-p-1,10481,53,2025-08-27 10:06:18.194998832,2026-03-28 20:07:07.725996307
