location_id,metric,count,mean,min,max
yyc-c1-r11,lastSeen,1342,1761800709.5543964,1758061871,1772139512
yyc-c1-r11,stale,5725,0.725764192139738,0,1
yyc-c1-r123,lastSeen,778,1763061088.5308483,1758061716,1772139326
yyc-c1-r123,stale,5617,0.7397187110557237,0,1
yyc-c1-r125,lastSeen,779,1763327525.9974327,1758061718,1772139366
yyc-c1-r125,stale,5579,0.7447571249327837,0,1
yyc-c1-r127,lastSeen,566,1763301271.7650177,1758061753,1772140037
yyc-c1-r127,stale,5441,0.7636463885315199,0,1
yyc-c1-r129,lastSeen,810,1763181245.1024692,1758062365,1772140032
yyc-c1-r129,stale,5577,0.7453828223058993,0,1
yyc-c1-r13,lastSeen,1009,1762373016.1873143,1758061884,1772139671
yyc-c1-r13,stale,5597,0.742540646775058,0,1
yyc-c1-r131,lastSeen,935,1763013749.8791444,1758062399,1772140072
yyc-c1-r131,stale,5682,0.731432594156987,0,1
yyc-c1-r133,lastSeen,1112,1763076209.2248201,1758062292,1772140047
yyc-c1-r133,stale,5779,0.7189825229278421,0,1
yyc-c1-r135,lastSeen,708,1763486477.2217515,1758062294,1772140007
yyc-c1-r135,stale,5549,0.7487835646062354,0,1
yyc-c1-r137,lastSeen,1082,1763072201.383549,1758062328,1772140178
yyc-c1-r137,stale,5742,0.7237896203413445,0,1
yyc-c1-r139,lastSeen,852,1762938533.5551643,1758062504,1772140175
yyc-c1-r139,stale,5614,0.7401140007125044,0,1
yyc-c1-r145,lastSeen,796,1763278082.1444724,1758062501,1772140209
yyc-c1-r145,stale,5574,0.7459634015069968,0,1
yyc-c1-r147,lastSeen,771,1763400508.1763942,1758062451,1772140192
yyc-c1-r147,stale,5571,0.7461856040208221,0,1
yyc-c1-r149,lastSeen,815,1763485724.595092,1758062426,1772140099
yyc-c1-r149,stale,5579,0.7447571249327837,0,1
yyc-c1-r151,lastSeen,852,1763431104.859155,1758062462,1772140127
yyc-c1-r151,stale,5586,0.7441818832796276,0,1
yyc-c1-r153,lastSeen,798,1763534698.6616542,1758062169,1772140118
yyc-c1-r153,stale,5601,0.7420103552936975,0,1
yyc-c1-r155,lastSeen,907,1763385483.522602,1758062154,1772139840
yyc-c1-r155,stale,5599,0.7420968030005358,0,1
yyc-c1-r157,lastSeen,913,1763436266.0668128,1758062135,1772139830
yyc-c1-r157,stale,5624,0.7389758179231863,0,1
yyc-c1-r159,lastSeen,849,1763359350.3698468,1758062091,1772139739
yyc-c1-r159,stale,5567,0.7467217531884318,0,1
yyc-c1-r161,lastSeen,922,1763405052.6355748,1758062092,1772139768
yyc-c1-r161,stale,5612,0.7405559515324305,0,1
yyc-c1-r167,lastSeen,1059,1763292328.181303,1758062128,1772139922
yyc-c1-r167,stale,5633,0.7377951358068525,0,1
yyc-c1-r169,lastSeen,1035,1763188870.6966183,1758062256,1772139917
yyc-c1-r169,stale,5588,0.743915533285612,0,1
yyc-c1-r171,lastSeen,1052,1763378669.6692016,1758062268,1772139947
yyc-c1-r171,stale,5589,0.743782429772768,0,1
yyc-c1-r173,lastSeen,1072,1763164301.7005596,1758062221,1772139924
yyc-c1-r173,stale,5593,0.7430716967638119,0,1
yyc-c1-r175,lastSeen,1102,1763180008.9863884,1758062222,1772139896
yyc-c1-r175,stale,5630,0.7380106571936057,0,1
yyc-c1-r177,lastSeen,1010,1763222265.709901,1758062236,1772139891
yyc-c1-r177,stale,5639,0.7370101081752084,0,1
yyc-c1-r179,lastSeen,1071,1763454818.9981325,1758060999,1772139148
yyc-c1-r179,stale,5639,0.7237098776378791,0,1
yyc-c1-r181,lastSeen,1141,1763471739.5942156,1758060993,1772138616
yyc-c1-r181,stale,5646,0.7355650017711655,0,1
yyc-c1-r183,lastSeen,1100,1763506458.3636363,1758060951,1772138604
yyc-c1-r183,stale,5619,0.593699946609717,0,1
yyc-c1-r189,lastSeen,864,1763506169.0185184,1757016952,1772138532
yyc-c1-r189,stale,5631,0.537559936068194,0,1
yyc-c1-r191,lastSeen,916,1763705036.1277292,1758060942,1772138569
yyc-c1-r191,stale,5668,0.6196189131968949,0,1
yyc-c1-r193,lastSeen,927,1763278328.2308521,1758060959,1772138723
yyc-c1-r193,stale,5651,0.657759688550699,0,1
yyc-c1-r195,lastSeen,778,1763307813.3303342,1758061082,1772138758
yyc-c1-r195,stale,5569,0.7459148859759382,0,1
yyc-c1-r197,lastSeen,783,1763547947.5108557,1758061120,1772138753
yyc-c1-r197,stale,5555,0.7476147614761476,0,1
yyc-c1-r199,lastSeen,892,1763402537.6580718,1758061028,1772138651
yyc-c1-r199,stale,5600,0.7414285714285714,0,1
yyc-c1-r201,lastSeen,899,1763266336.676307,1758061030,1772138688
yyc-c1-r201,stale,5621,0.7386586016723004,0,1
yyc-c1-r203,lastSeen,894,1763155042.8803132,1756318476,1772138670
yyc-c1-r203,stale,5675,0.4701321585903084,0,1
yyc-c1-r205,lastSeen,1252,1764390392.6701279,1756918820,1772138326
