metric,cadence_p50_s,cadence_p10_s,cadence_p90_s
accelerometerX,5555.0000019715,2691.0000046227,1742446.9999965727
accelerometerXMaximum,5555.0000019715,2691.0000046227,1742446.9999965727
accelerometerXMinimum,5555.0000019715,2691.0000046227,1742446.9999965727
accelerometerY,5487.0000002205,2686.9999989725,1742447.9999978037
accelerometerYMaximum,5487.0000002205,2686.9999989725,1742447.9999978037
accelerometerYMinimum,5487.0000002205,2686.9999989725,1742447.9999978037
accelerometerZ,5267.4999970035005,2690.000003322,1742444.99999962
accelerometerZMaximum,5267.4999970035005,2690.000003322,1742444.99999962
accelerometerZMinimum,5267.4999970035005,2690.000003322,1742444.99999962
ambientTemperature,4004.000000562,2685.000000899,19453.299995377707
ambientTemperatureLegacyInDegC,4000.000000259,2683.999998772,19448.9999977028
ambientTemperatureLegacyInDegCMaximum,4000.000000259,2683.999998772,19448.9999977028
ambientTemperatureLegacyInDegCMinimum,4000.000000259,2683.999998772,19448.9999977028
ambientTemperatureMaximum,4004.000000562,2685.000000899,19453.299995377707
ambientTemperatureMinimum,4004.000000562,2685.000000899,19453.299995377707
boostVoltage,3698.000006357,2635.000001151,8094.199995377204
boostVoltageMaximum,3698.000006357,2635.000001151,8094.199995377204
boostVoltageMinimum,3698.000006357,2635.000001151,8094.199995377204
heater01Temperature,209552.000002706,2322.4000027624006,4549843.600000985
heater01TemperatureMaximum,209552.000002706,2322.4000027624006,4549843.600000985
heater01TemperatureMinimum,209552.000002706,2322.4000027624006,4549843.600000985
heater02Temperature,97106.00000506,2570.200004738,4549844.200001753
heater02TemperatureMaximum,97106.00000506,2570.200004738,4549844.200001753
heater02TemperatureMinimum,97106.00000506,2570.200004738,4549844.200001753
humidity,10903.999999480999,2731.000000328,295403.300000289
humidityMaximum,10912.0000004065,2731.0000003283003,295406.00000381324
humidityMinimum,10911.499999346499,2731.0000003289,295405.9999985356
internalTemperature,4000.000000259,2683.999998772,19448.9999977028
internalTemperatureMaximum,4000.000000259,2683.999998772,19448.9999977028
internalTemperatureMinimum,4000.000000259,2683.999998772,19448.9999977028
lastSeen,240.000002041,1.000002119,3808.0000018943
led01Temperature,97090.4999970335,2569.499992752,4547418.999999801
led01TemperatureMaximum,97090.4999970335,2569.499992752,4547418.999999801
led01TemperatureMinimum,97090.4999970335,2569.499992752,4547418.999999801
led02Temperature,103192.999997803,2273.4000018608003,4547822.800000081
led02TemperatureMaximum,103192.999997803,2273.4000018608003,4547822.800000081
led02TemperatureMinimum,103192.999997803,2273.4000018608003,4547822.800000081
magneticX,295407.000000402,2269.1000025558,4549865.0000046035
magneticXMaximum,295407.000000402,2269.1000025558,4549865.0000046035
magneticXMinimum,295407.000000402,2269.1000025558,4549865.0000046035
magneticY,295402.000006149,2270.600005734,4549865.399997527
magneticYMaximum,295402.000006149,2270.600005734,4549865.399997527
magneticYMinimum,295402.000006149,2270.600005734,4549865.399997527
magneticZ,295404.999995537,2276.4000016866003,4549865.600001478
magneticZMaximum,295404.999995537,2276.4000016866003,4549865.600001478
magneticZMinimum,295404.999995537,2276.4000016866003,4549865.600001478
pressure,3808.99999584,2652.9999984439,12075.300004345307
pressureLegacyInMbar,3816.999996454,2647.999996021,12023.9999985215
pressureLegacyInMbarMaximum,3816.999996454,2647.999996021,12023.9999985215
pressureLegacyInMbarMinimum,3816.999996454,2647.999996021,12024.799998583703
pressureMaximum,3808.99999584,2652.9999984439,12075.300004345307
pressureMinimum,3808.99999584,2652.9999984437,12075.900004109897
stale,3588.467002474,1681.984992701,3672.944999931
