metric,n_events,n_fixtures,n_numeric,n_string,numeric_min,numeric_p50,numeric_max
stale,1129022,170,1129022,0,0,1.0,1
lastSeen,196838,170,196838,0,1749747145,1763624540.5,1772140929
boostVoltageMaximum,42079,170,42079,0,0,24160.0,26644
boostVoltageMinimum,42079,170,42079,0,0,24073.0,25745
boostVoltage,42079,170,42079,0,17634,24121.0,25745
pressureMaximum,30670,170,30670,0,0,861.0,1093
pressure,30670,170,30670,0,0,861.0,1093
pressureMinimum,30668,170,30668,0,0,861.0,1093
pressureLegacyInMbarMaximum,29476,170,29476,0,0,859.0,1093
pressureLegacyInMbar,29476,170,29476,0,0,859.0,1093
pressureLegacyInMbarMinimum,29474,170,29474,0,0,859.0,1093
ambientTemperature,27970,170,27970,0,0,16.0,65535
ambientTemperatureMinimum,27970,170,27970,0,-12,16.0,65535
ambientTemperatureMaximum,27970,170,27970,0,0,16.0,65535
ambientTemperatureLegacyInDegCMaximum,26897,170,26897,0,0,15.0,65535
ambientTemperatureLegacyInDegC,26897,170,26897,0,0,15.0,65535
ambientTemperatureLegacyInDegCMinimum,26897,170,26897,0,-12,15.0,65535
internalTemperature,26897,170,26897,0,0,15.0,65535
internalTemperatureMaximum,26897,170,26897,0,0,15.0,65535
internalTemperatureMinimum,26897,170,26897,0,-12,15.0,65535
humidityMaximum,10154,170,10154,0,0,49.0,139
humidityMinimum,10150,170,10150,0,0,49.0,101
humidity,10148,170,10148,0,0,49.0,101
accelerometerZ,4694,170,4694,0,-925,0.0,65343
accelerometerZMinimum,4694,170,4694,0,-925,0.0,65343
accelerometerZMaximum,4694,170,4694,0,-925,0.0,65509
accelerometerYMaximum,4644,170,4644,0,-70,0.0,65535
accelerometerY,4644,170,4644,0,-70,0.0,65534
accelerometerYMinimum,4644,170,4644,0,-72,0.0,65534
accelerometerXMinimum,4600,170,4600,0,0,38.5,1335
accelerometerX,4600,170,4600,0,0,40.0,1335
accelerometerXMaximum,4600,170,4600,0,0,42.0,11232
led01TemperatureMinimum,2476,170,2476,0,0,25.0,25
led01TemperatureMaximum,2476,170,2476,0,0,25.0,25
led01Temperature,2476,170,2476,0,25,25.0,25
led02Temperature,2453,170,2453,0,25,25.0,25
led02TemperatureMaximum,2453,170,2453,0,0,25.0,25
led02TemperatureMinimum,2453,170,2453,0,0,25.0,25
heater02Temperature,2449,170,2449,0,-55,-55.0,-55
heater02TemperatureMaximum,2449,170,2449,0,-55,-55.0,0
heater02TemperatureMinimum,2449,170,2449,0,-55,-55.0,0
heater01TemperatureMinimum,2435,170,2435,0,-55,-55.0,0
heater01TemperatureMaximum,2435,170,2435,0,-55,-55.0,0
heater01Temperature,2435,170,2435,0,-55,-55.0,-55
magneticY,2277,170,2277,0,0,0.0,0
magneticYMaximum,2277,170,2277,0,0,0.0,0
magneticYMinimum,2277,170,2277,0,0,0.0,0
magneticZ,2275,170,2275,0,0,0.0,0
magneticZMaximum,2275,170,2275,0,0,0.0,0
magneticZMinimum,2275,170,2275,0,0,0.0,0
magneticXMaximum,2272,170,2272,0,0,0.0,0
magneticXMinimum,2272,170,2272,0,0,0.0,0
magneticX,2272,170,2272,0,0,0.0,0
