location_id,n_amb,n_int,med_amb,med_int,dT_med
yyc-c1-r11,205,205,20.0,20.0,0.0
yyc-c1-r123,145,145,19.0,19.0,0.0
yyc-c1-r125,145,145,17.0,17.0,0.0
yyc-c1-r127,156,156,19.5,19.5,0.0
yyc-c1-r129,150,150,19.0,19.0,0.0
yyc-c1-r13,198,198,20.5,20.5,0.0
yyc-c1-r131,160,160,20.0,20.0,0.0
yyc-c1-r133,141,141,19.0,19.0,0.0
yyc-c1-r135,148,148,18.5,18.5,0.0
yyc-c1-r137,135,135,20.0,20.0,0.0
yyc-c1-r139,136,136,19.0,19.0,0.0
yyc-c1-r145,156,156,19.0,19.0,0.0
yyc-c1-r147,156,156,17.0,17.0,0.0
yyc-c1-r149,149,149,16.0,16.0,0.0
yyc-c1-r151,174,174,18.0,18.0,0.0
yyc-c1-r153,153,153,17.0,17.0,0.0
yyc-c1-r155,174,174,19.0,19.0,0.0
yyc-c1-r157,171,171,18.0,18.0,0.0
yyc-c1-r159,181,181,19.0,19.0,0.0
yyc-c1-r161,180,180,16.0,16.0,0.0
yyc-c1-r167,223,223,19.0,19.0,0.0
yyc-c1-r169,217,217,20.0,20.0,0.0
yyc-c1-r171,223,223,19.0,19.0,0.0
yyc-c1-r173,227,227,19.0,19.0,0.0
yyc-c1-r175,231,231,20.0,20.0,0.0
yyc-c1-r177,207,207,20.0,20.0,0.0
yyc-c1-r179,211,211,20.0,20.0,0.0
yyc-c1-r181,229,229,19.0,19.0,0.0
yyc-c1-r183,205,205,20.0,20.0,0.0
yyc-c1-r189,150,150,20.0,20.0,0.0
yyc-c1-r191,167,167,19.0,19.0,0.0
yyc-c1-r193,167,167,18.0,18.0,0.0
yyc-c1-r195,147,147,18.0,18.0,0.0
yyc-c1-r197,143,143,20.0,20.0,0.0
yyc-c1-r199,173,173,20.0,20.0,0.0
yyc-c1-r201,184,184,21.0,21.0,0.0
yyc-c1-r203,162,162,21.0,21.0,0.0
yyc-c1-r205,166,166,19.5,19.5,0.0
yyc-c1-r211,79,79,18.0,18.0,0.0
yyc-c1-r213,84,84,19.0,19.0,0.0
yyc-c1-r215,78,78,19.0,19.0,0.0
yyc-c1-r217,82,82,20.5,20.5,0.0
yyc-c1-r219,88,88,20.0,20.0,0.0
yyc-c1-r221,115,115,20.0,20.0,0.0
yyc-c1-r223,93,93,21.0,21.0,0.0
yyc-c1-r225,69,69,19.0,19.0,0.0
yyc-c1-r227,96,96,19.0,19.0,0.0
yyc-c1-r233,212,212,20.0,20.0,0.0
yyc-c1-r235,225,225,19.0,19.0,0.0
yyc-c1-r237,226,226,19.0,19.0,0.0
yyc-c1-r239,228,228,19.0,19.0,0.0
yyc-c1-r241,227,227,19.0,19.0,0.0
yyc-c1-r243,231,231,20.0,20.0,0.0
yyc-c1-r245,217,217,20.0,20.0,0.0
yyc-c1-r247,222,222,19.5,19.5,0.0
yyc-c1-r249,214,214,20.0,20.0,0.0
yyc-c1-r255,228,228,19.0,19.0,0.0
yyc-c1-r257,233,233,19.0,19.0,0.0
yyc-c1-r259,224,224,19.0,19.0,0.0
yyc-c1-r261,237,237,20.0,20.0,0.0
yyc-c1-r263,223,223,20.0,20.0,0.0
